@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
176,436,2,62,174,0.262712,0.995434,0.875502,0.995434,0.124498,0.931624,0.738872,1.347234,0.001875
177,436,2,61,175,0.258475,0.995434,0.877264,0.995434,0.122736,0.93262,0.737389,1.349944,0.002206
178,436,2,60,176,0.254237,0.995434,0.879032,0.995434,0.120968,0.933619,0.735905,1.352666,0.00237
179,436,2,59,177,0.25,0.995434,0.880808,0.995434,0.119192,0.93462,0.734421,1.355399,0.002564
180,435,3,59,177,0.25,0.993151,0.880567,0.993151,0.119433,0.933476,0.732938,1.355027,0.002645
181,435,3,58,178,0.245763,0.993151,0.882353,0.993151,0.117647,0.934479,0.731454,1.357776,0.002666
182,435,3,57,179,0.241525,0.993151,0.884146,0.993151,0.115854,0.935484,0.72997,1.360536,0.002713
183,435,3,56,180,0.237288,0.993151,0.885947,0.993151,0.114053,0.936491,0.728487,1.363307,0.002759
184,435,3,55,181,0.233051,0.993151,0.887755,0.993151,0.112245,0.9375,0.727003,1.366089,0.002961
185,435,3,54,182,0.228814,0.993151,0.889571,0.993151,0.110429,0.938511,0.725519,1.368883,0.002994
186,435,3,53,183,0.224576,0.993151,0.891393,0.993151,0.108607,0.939525,0.724036,1.371688,0.003107
187,435,3,52,184,0.220339,0.993151,0.893224,0.993151,0.106776,0.940541,0.722552,1.374504,0.00331
188,435,3,51,185,0.216102,0.993151,0.895062,0.993151,0.104938,0.941558,0.721068,1.377332,0.003647
189,435,3,50,186,0.211864,0.993151,0.896907,0.993151,0.103093,0.942579,0.719585,1.380172,0.004039
190,435,3,49,187,0.207627,0.993151,0.89876,0.993151,0.10124,0.943601,0.718101,1.383024,0.004658
191,435,3,48,188,0.20339,0.993151,0.900621,0.993151,0.099379,0.944625,0.716617,1.385887,0.004692
192,435,3,47,189,0.199153,0.993151,0.90249,0.993151,0.09751,0.945652,0.715134,1.388763,0.00487
193,434,4,47,189,0.199153,0.990868,0.902287,0.990868,0.097713,0.944505,0.71365,1.388451,0.00505
194,434,4,46,190,0.194915,0.990868,0.904167,0.990868,0.095833,0.945534,0.712166,1.391343,0.005206
195,434,4,45,191,0.190678,0.990868,0.906054,0.990868,0.093946,0.946565,0.710682,1.394248,0.00523
196,434,4,44,192,0.186441,0.990868,0.90795,0.990868,0.09205,0.947598,0.709199,1.397165,0.005791
197,434,4,43,193,0.182203,0.990868,0.909853,0.990868,0.090147,0.948634,0.707715,1.400094,0.006086
198,434,4,42,194,0.177966,0.990868,0.911765,0.990868,0.088235,0.949672,0.706231,1.403035,0.006252
199,434,4,41,195,0.173729,0.990868,0.913684,0.990868,0.086316,0.950712,0.704748,1.405989,0.006322
200,434,4,40,196,0.169492,0.990868,0.915612,0.990868,0.084388,0.951754,0.703264,1.408955,0.006375
201,434,4,39,197,0.165254,0.990868,0.917548,0.990868,0.082452,0.952799,0.70178,1.411934,0.007671
202,433,5,39,197,0.165254,0.988584,0.917373,0.988584,0.082627,0.951648,0.700297,1.411665,0.008231
203,432,6,39,197,0.165254,0.986301,0.917197,0.986301,0.082803,0.950495,0.698813,1.411395,0.008435
204,432,6,38,198,0.161017,0.986301,0.919149,0.986301,0.080851,0.951542,0.697329,1.414398,0.008726
205,432,6,37,199,0.15678,0.986301,0.921109,0.986301,0.078891,0.952591,0.695846,1.417414,0.009067
206,432,6,36,200,0.152542,0.986301,0.923077,0.986301,0.076923,0.953642,0.694362,1.420443,0.010878
207,432,6,35,201,0.148305,0.986301,0.925054,0.986301,0.074946,0.954696,0.692878,1.423484,0.010906
208,432,6,34,202,0.144068,0.986301,0.927039,0.986301,0.072961,0.955752,0.691395,1.426539,0.012299
209,432,6,33,203,0.139831,0.986301,0.929032,0.986301,0.070968,0.956811,0.689911,1.429607,0.013208
210,432,6,32,204,0.135593,0.986301,0.931034,0.986301,0.068966,0.957871,0.688427,1.432688,0.018008
211,432,6,31,205,0.131356,0.986301,0.933045,0.986301,0.066955,0.958935,0.686944,1.435782,0.01867
212,432,6,30,206,0.127119,0.986301,0.935065,0.986301,0.064935,0.96,0.68546,1.43889,0.020578
213,431,7,30,206,0.127119,0.984018,0.934924,0.984018,0.065076,0.958843,0.683976,1.438673,0.020872
214,431,7,29,207,0.122881,0.984018,0.936957,0.984018,0.063043,0.959911,0.682493,1.441801,0.021457
215,431,7,28,208,0.118644,0.984018,0.938998,0.984018,0.061002,0.960981,0.681009,1.444942,0.022142
216,431,7,27,209,0.114407,0.984018,0.941048,0.984018,0.058952,0.962054,0.679525,1.448097,0.031928
217,431,7,26,210,0.110169,0.984018,0.943107,0.984018,0.056893,0.963128,0.678042,1.451265,0.032458
218,430,8,26,210,0.110169,0.981735,0.942982,0.981735,0.057018,0.961969,0.676558,1.451073,0.033424
219,430,8,25,211,0.105932,0.981735,0.945055,0.981735,0.054945,0.963046,0.675074,1.454263,0.034199
220,430,8,24,212,0.101695,0.981735,0.947137,0.981735,0.052863,0.964126,0.673591,1.457466,0.035269
221,430,8,23,213,0.097458,0.981735,0.949227,0.981735,0.050773,0.965208,0.672107,1.460683,0.036703
222,429,9,23,213,0.097458,0.979452,0.949115,0.979452,0.050885,0.964045,0.670623,1.46051,0.044883
223,429,9,22,214,0.09322,0.979452,0.95122,0.979452,0.04878,0.965129,0.669139,1.463749,0.057451
224,429,9,21,215,0.088983,0.979452,0.953333,0.979452,0.046667,0.966216,0.667656,1.467002,0.063357
225,429,9,20,216,0.084746,0.979452,0.955457,0.979452,0.044543,0.967306,0.666172,1.470269,0.076573
226,429,9,19,217,0.080508,0.979452,0.957589,0.979452,0.042411,0.968397,0.664688,1.473551,0.079884
227,429,9,18,218,0.076271,0.979452,0.959732,0.979452,0.040268,0.969492,0.663205,1.476847,0.094263
228,429,9,17,219,0.072034,0.979452,0.961883,0.979452,0.038117,0.970588,0.661721,1.480158,0.105991
229,428,10,17,219,0.072034,0.977169,0.961798,0.977169,0.038202,0.969422,0.660237,1.480027,0.106912
